Year,Site Name,Coarse Group,Marchant Cell Number,Sample Count
2014,W386,Gastropoda,Cell 41,2
2014,W386,Oligochaeta,Cell 41,36
2014,W386,Damaged Organisms,Cell 41,2
2014,W386,Chaoboridae,Cell 15,1
2014,W386,Damaged Organisms,Cell 15,4
2014,W386,Oligochaeta,Cell 15,20
2014,W386,Chironomidae,Cell 15,19
2014,W386,Anisoptera,Cell 15,1
2014,W386,Ephemeroptera,Cell 15,1
2014,W386,Amphipoda,Cell 15,2
2014,W386,Hydrachnidia,Cell 15,1
2014,W386,Gastropoda,Cell 15,2
2014,W386,Oligochaeta,Cell 71,25
2014,W386,Gastropoda,Cell 71,2
2014,W386,Hydrachnidia,Cell 71,5
2014,W386,Amphipoda,Cell 71,5
2014,W386,Damaged Organisms,Cell 71,6
2014,W386,Ceratopogonidae,Cell 71,1
2014,W386,Chironomidae,Cell 71,41
2014,W386,Coleoptera (larvae),Cell 71,1
2014,W387,Oligochaeta,Cell 37,8
2014,W387,Gastropoda,Cell 37,4
2014,W387,Hydrachnidia,Cell 37,2
2014,W387,Chironomidae,Cell 37,3
2014,W387,Hemiptera,Cell 37,1
2014,W387,Trichoptera,Cell 37,1
2014,W387,Amphipoda,Cell 37,6
2014,W387,Oligochaeta,Cell 63,5
2014,W387,Gastropoda,Cell 63,3
2014,W387,Amphipoda,Cell 63,3
2014,W387,Ephemeroptera,Cell 63,1
2014,W387,Hemiptera,Cell 63,1
2014,W387,Chironomidae,Cell 63,4
2014,W387,Chaoboridae,Cell 63,2
2014,W387,Damaged Organisms,Cell 56,1
2014,W387,Oligochaeta,Cell 56,4
2014,W387,Gastropoda,Cell 56,4
2014,W387,Bivalvia,Cell 56,1
2014,W387,Amphipoda,Cell 56,5
2014,W387,Ephemeroptera,Cell 56,1
2014,W387,Anisoptera,Cell 56,1
2014,W387,Zygoptera,Cell 56,1
2014,W387,Chironomidae,Cell 56,6
2014,W387,Gastropoda,Cell 22,1
2014,W387,Hydrachnidia,Cell 22,1
2014,W387,Amphipoda,Cell 22,6
2014,W387,Coleoptera (larvae),Cell 22,1
2014,W387,Oligochaeta,Cell 22,10
2014,W387,Chironomidae,Cell 22,3
2014,W387,Ceratopogonidae,Cell 22,1
2014,W387,Oligochaeta,Cell 79,5
2014,W387,Gastropoda,Cell 79,17
2014,W387,Bivalvia,Cell 79,2
2014,W387,Hydrachnidia,Cell 79,1
2014,W387,Amphipoda,Cell 79,6
2014,W387,Hemiptera,Cell 79,1
2014,W387,Chironomidae,Cell 79,5
2014,W387,Chaoboridae,Cell 79,1
2014,W387,Oligochaeta,Cell 97,20
2014,W387,Hirudinea,Cell 97,1
2014,W387,Gastropoda,Cell 97,24
2014,W387,Bivalvia,Cell 97,3
2014,W387,Hydrachnidia,Cell 97,1
2014,W387,Amphipoda,Cell 97,6
2014,W387,Ephemeroptera,Cell 97,1
2014,W387,Hemiptera,Cell 97,1
2014,W387,Chironomidae,Cell 97,4
2014,W387,Damaged Organisms,Cell 93,3
2014,W387,Oligochaeta,Cell 93,14
2014,W387,Hirudinea,Cell 93,3
2014,W387,Gastropoda,Cell 93,8
2014,W387,Bivalvia,Cell 93,3
2014,W387,Hydrachnidia,Cell 93,1
2014,W387,Amphipoda,Cell 93,7
2014,W387,Zygoptera,Cell 93,1
2014,W387,Hemiptera,Cell 93,6
2014,W387,Chironomidae,Cell 93,7
2014,W387,Damaged Organisms,Cell 41,1
2014,W387,Oligochaeta,Cell 41,6
2014,W387,Gastropoda,Cell 41,1
2014,W387,Amphipoda,Cell 41,8
2014,W387,Ephemeroptera,Cell 41,1
2014,W387,Chironomidae,Cell 41,4
2014,W387,Ceratopogonidae,Cell 41,1
2014,W387,Gastropoda,Cell 57,3
2014,W387,Bivalvia,Cell 57,1
2014,W387,Amphipoda,Cell 57,6
2014,W387,Hemiptera,Cell 57,1
2014,W387,Chironomidae,Cell 57,3
2014,W387,Damaged Organisms,Cell 57,1
2014,W387,Oligochaeta,Cell 57,9
2014,W387,Oligochaeta,Cell 30,9
2014,W387,Gastropoda,Cell 30,3
2014,W387,Amphipoda,Cell 30,4
2014,W387,Anisoptera,Cell 30,1
2014,W387,Chironomidae,Cell 30,2
2014,W387,Damaged Organisms,Cell 30,4
2014,W387,Damaged Organisms,Cell 23,1
2014,W387,Oligochaeta,Cell 23,3
2014,W387,Hydrachnidia,Cell 23,1
2014,W387,Amphipoda,Cell 23,11
2014,W387,Ephemeroptera,Cell 23,1
2014,W387,Chironomidae,Cell 23,4
2014,W387,Ceratopogonidae,Cell 23,1
2014,W387,Chaoboridae,Cell 23,1
2014,W387,Oligochaeta,Cell 53,8
2014,W387,Hirudinea,Cell 53,1
2014,W387,Amphipoda,Cell 53,10
2014,W387,Zygoptera,Cell 53,1
2014,W387,Chironomidae,Cell 53,1
2014,W387,Chaoboridae,Cell 53,1
2014,W40,Gastropoda,Cell 63,1
2014,W40,Hemiptera,Cell 63,2
2014,W40,Chironomidae,Cell 63,6
2014,W40,Oligochaeta,Cell 97,1
2014,W40,Ephemeroptera,Cell 97,1
2014,W40,Chironomidae,Cell 97,5
2014,W40,Ephemeroptera,Cell 10,1
2014,W40,Chironomidae,Cell 10,3
2014,W40,Oligochaeta,Cell 10,4
2014,W40,Bivalvia,Cell 10,3
2014,W40,Oligochaeta,Cell 76,3
2014,W40,Gastropoda,Cell 76,1
2014,W40,Bivalvia,Cell 76,2
2014,W40,Chironomidae,Cell 76,6
2014,W40,Gastropoda,Cell 25,2
2014,W40,Zygoptera,Cell 25,1
2014,W40,Chironomidae,Cell 25,6
2014,W40,Oligochaeta,Cell 60,4
2014,W40,Gastropoda,Cell 60,5
2014,W40,Ephemeroptera,Cell 60,1
2014,W40,Chironomidae,Cell 60,7
2014,W40,Oligochaeta,Cell 38,4
2014,W40,Bivalvia,Cell 38,1
2014,W40,Chironomidae,Cell 38,11
2014,W40,Damaged Organisms,Cell 94,1
2014,W40,Oligochaeta,Cell 94,4
2014,W40,Gastropoda,Cell 94,1
2014,W40,Bivalvia,Cell 94,1
2014,W40,Zygoptera,Cell 94,1
2014,W40,Chironomidae,Cell 94,7
2014,W40,Oligochaeta,Cell 39,7
2014,W40,Gastropoda,Cell 39,1
2014,W40,Bivalvia,Cell 39,2
2014,W40,Ephemeroptera,Cell 39,2
2014,W40,Chironomidae,Cell 39,7
2014,W40,Damaged Organisms,Cell 71,1
2014,W40,Oligochaeta,Cell 71,4
2014,W40,Bivalvia,Cell 71,2
2014,W40,Anisoptera,Cell 71,1
2014,W40,Zygoptera,Cell 71,1
2014,W40,Chironomidae,Cell 71,6
2014,W40,Oligochaeta,Cell 96,4
2014,W40,Bivalvia,Cell 96,2
2014,W40,Ephemeroptera,Cell 96,1
2014,W40,Chironomidae,Cell 96,2
2014,W40,Damaged Organisms,Cell 49,1
2014,W40,Oligochaeta,Cell 49,4
2014,W40,Gastropoda,Cell 49,4
2014,W40,Bivalvia,Cell 49,1
2014,W40,Ephemeroptera,Cell 49,1
2014,W40,Zygoptera,Cell 49,1
2014,W40,Chironomidae,Cell 49,9
2014,W40,Oligochaeta,Cell 86,3
2014,W40,Bivalvia,Cell 86,1
2014,W40,Ephemeroptera,Cell 86,2
2014,W40,Trichoptera,Cell 86,1
2014,W40,Chironomidae,Cell 86,6
2014,W40,Damaged Organisms,Cell 84,1
2014,W40,Gastropoda,Cell 84,1
2014,W40,Bivalvia,Cell 84,1
2014,W40,Ephemeroptera,Cell 84,1
2014,W40,Zygoptera,Cell 84,1
2014,W40,Chironomidae,Cell 84,8
2014,W40,Ephemeroptera,Cell 51,1
2014,W40,Zygoptera,Cell 51,1
2014,W40,Trichoptera,Cell 51,1
2014,W40,Chironomidae,Cell 51,8
2014,W40,Oligochaeta,Cell 51,3
2014,W40,Gastropoda,Cell 51,1
2014,W40,Damaged Organisms,Cell 85,1
2014,W40,Oligochaeta,Cell 85,2
2014,W40,Hydrachnidia,Cell 85,1
2014,W40,Ephemeroptera,Cell 85,1
2014,W40,Chironomidae,Cell 85,3
2014,W40,Ephemeroptera,Cell 55,1
2014,W40,Anisoptera,Cell 55,1
2014,W40,Chironomidae,Cell 55,6
2014,W40,Gastropoda,Cell 55,1
2014,W40,Oligochaeta,Cell 55,4
2014,W40,Ephemeroptera,Cell 80,1
2014,W40,Bivalvia,Cell 80,1
2014,W40,Oligochaeta,Cell 80,4
2014,W40,Chironomidae,Cell 80,12
2014,W40,Zygoptera,Cell 80,1
2014,W40,Anisoptera,Cell 80,1
2014,W40,Gastropoda,Cell 80,1
2014,W40,Damaged Organisms,Cell 32,1
2014,W40,Bivalvia,Cell 32,1
2014,W40,Zygoptera,Cell 32,1
2014,W40,Trichoptera,Cell 32,1
2014,W40,Chironomidae,Cell 32,8
2014,W40,Oligochaeta,Cell 32,9
2014,W40,Oligochaeta,Cell 89,3
2014,W40,Bivalvia,Cell 89,2
2014,W40,Chironomidae,Cell 89,5
2014,W40,Damaged Organisms,Cell 89,1
2014,W40,Damaged Organisms,Cell 79,2
2014,W40,Oligochaeta,Cell 79,3
2014,W40,Bivalvia,Cell 79,1
2014,W40,Chironomidae,Cell 79,6
2014,W40,Amphipoda,Cell 74,1
2014,W40,Chironomidae,Cell 74,10
2014,W40,Bivalvia,Cell 74,1
2014,W40,Gastropoda,Cell 68,4
2014,W40,Damaged Organisms,Cell 68,1
2014,W40,Chironomidae,Cell 68,8
2014,W40,Ephemeroptera,Cell 68,3
2014,W40,Oligochaeta,Cell 68,4
2014,W40,Chironomidae,Cell 57,7
2014,W40,Ephemeroptera,Cell 57,1
2014,W40,Gastropoda,Cell 57,1
2014,W40,Oligochaeta,Cell 57,4
2014,W40,Oligochaeta,Cell 59,8
2014,W40,Chironomidae,Cell 59,6
2014,W40,Bivalvia,Cell 59,5
2014,W40,Gastropoda,Cell 59,2
2014,W40,Hemiptera,Cell 3,1
2014,W40,Anisoptera,Cell 3,2
2014,W40,Damaged Organisms,Cell 3,1
2014,W40,Oligochaeta,Cell 3,3
2014,W40,Chironomidae,Cell 3,1
2014,W40,Ephemeroptera,Cell 3,2
2014,W40,Bivalvia,Cell 3,4
2014,W41,Zygoptera,Cell 38,1
2014,W41,Chironomidae,Cell 38,1
2014,W41,Chironomidae,Cell 43,2
2014,W41,Zygoptera,Cell 43,1
2014,W41,Bivalvia,Cell 43,1
2014,W41,Oligochaeta,Cell 43,1
2014,W41,Hydrachnidia,Cell 25,2
2014,W41,Ceratopogonidae,Cell 25,2
2014,W41,Chironomidae,Cell 25,29
2014,W41,Coleoptera (adults),Cell 25,1
2014,W41,Trichoptera,Cell 25,2
2014,W41,Hemiptera,Cell 25,16
2014,W41,Zygoptera,Cell 25,35
2014,W41,Anisoptera,Cell 25,4
2014,W41,Ephemeroptera,Cell 25,4
2014,W41,Amphipoda,Cell 25,20
2014,W41,Bivalvia,Cell 25,32
2014,W41,Gastropoda,Cell 25,26
2014,W41,Hirudinea,Cell 25,1
2014,W41,Oligochaeta,Cell 25,33
2014,W41,Damaged Organisms,Cell 25,7
2014,W419,Amphipoda,Cell 98,3
2014,W419,Zygoptera,Cell 98,2
2014,W419,Gastropoda,Cell 98,1
2014,W419,Damaged Organisms,Cell 98,1
2014,W419,Gastropoda,Cell 19,3
2014,W419,Damaged Organisms,Cell 19,1
2014,W419,Oligochaeta,Cell 19,1
2014,W419,Zygoptera,Cell 19,1
2014,W419,Amphipoda,Cell 19,3
2014,W419,Hydrachnidia,Cell 71,1
2014,W419,Chironomidae,Cell 71,1
2014,W419,Zygoptera,Cell 71,1
2014,W419,Hemiptera,Cell 10,1
2014,W419,Zygoptera,Cell 10,38
2014,W419,Bivalvia,Cell 10,2
2014,W419,Hydrachnidia,Cell 10,9
2014,W419,Amphipoda,Cell 10,111
2014,W419,Gastropoda,Cell 10,43
2014,W419,Chaoboridae,Cell 10,1
2014,W419,Tipulidae,Cell 10,1
2014,W419,Ceratopogonidae,Cell 10,2
2014,W419,Chironomidae,Cell 10,19
2014,W419,Coleoptera (larvae),Cell 10,1
2014,W419,Trichoptera,Cell 10,1
2014,W419,Coleoptera (adults),Cell 10,3
2014,W419,Anisoptera,Cell 10,8
2014,W419,Hirudinea,Cell 10,3
2014,W419,Oligochaeta,Cell 10,57
2014,W419,Damaged Organisms,Cell 10,15
2014,W419,Ephemeroptera,Cell 10,3
2014,W500,Chaoboridae,Cell 37,2
2014,W500,Chironomidae,Cell 37,13
2014,W500,Anisoptera,Cell 37,1
2014,W500,Oligochaeta,Cell 37,26
2014,W500,Hirudinea,Cell 17,1
2014,W500,Chaoboridae,Cell 17,2
2014,W500,Chironomidae,Cell 17,21
2014,W500,Trichoptera,Cell 17,2
2014,W500,Anisoptera,Cell 17,1
2014,W500,Oligochaeta,Cell 17,16
2014,W500,Amphipoda,Cell 17,1
2014,W500,Oligochaeta,Cell 100,21
2014,W500,Amphipoda,Cell 100,1
2014,W500,Damaged Organisms,Cell 100,1
2014,W500,Chironomidae,Cell 100,16
2014,W500,Chaoboridae,Cell 100,4
2014,W500,Zygoptera,Cell 64,1
2014,W500,Amphipoda,Cell 64,1
2014,W500,Oligochaeta,Cell 64,21
2014,W500,Damaged Organisms,Cell 64,1
2014,W500,Chironomidae,Cell 64,20
2014,W500,Ceratopogonidae,Cell 64,2
2014,W500,Chaoboridae,Cell 64,5
2014,W500,Chironomidae,Cell 22,14
2014,W500,Ceratopogonidae,Cell 22,1
2014,W500,Chaoboridae,Cell 22,4
2014,W500,Hemiptera,Cell 22,1
2014,W500,Anisoptera,Cell 22,2
2014,W500,Oligochaeta,Cell 22,17
2014,W500,Damaged Organisms,Cell 22,3
2014,W500,Anisoptera,Cell 74,2
2014,W500,Oligochaeta,Cell 74,10
2014,W500,Chironomidae,Cell 74,16
2014,W500,Oligochaeta,Cell 44,7
2014,W500,Zygoptera,Cell 44,1
2014,W500,Chironomidae,Cell 44,11
2014,W500,Ceratopogonidae,Cell 44,1
2014,W500,Chaoboridae,Cell 44,2
2014,W500,Chironomidae,Cell 3,12
2014,W500,Oligochaeta,Cell 3,6
2014,W500,Chaoboridae,Cell 3,2
2014,W500,Chaoboridae,Cell 89,4
2014,W500,Chironomidae,Cell 89,9
2014,W500,Zygoptera,Cell 89,1
2014,W500,Hirudinea,Cell 89,1
2014,W500,Oligochaeta,Cell 89,23
2014,W500,Oligochaeta,Cell 18,20
2014,W500,Anisoptera,Cell 18,3
2014,W500,Trichoptera,Cell 18,1
2014,W500,Chironomidae,Cell 18,23
2014,W500,Chaoboridae,Cell 18,5
2014,W500,Ceratopogonidae,Cell 18,1
2014,W501,Damaged Organisms,Cell 92,1
2014,W501,Bivalvia,Cell 92,1
2014,W501,Chironomidae,Cell 92,4
2014,W501,Chaoboridae,Cell 92,4
2014,W501,Damaged Organisms,Cell 28,3
2014,W501,Amphipoda,Cell 28,1
2014,W501,Chironomidae,Cell 28,2
2014,W501,Chaoboridae,Cell 28,5
2014,W501,Damaged Organisms,Cell 60,2
2014,W501,Chironomidae,Cell 60,1
2014,W501,Chaoboridae,Cell 60,10
2014,W501,Oligochaeta,Cell 60,1
2014,W501,Amphipoda,Cell 54,4
2014,W501,Chaoboridae,Cell 54,19
2014,W501,Damaged Organisms,Cell 54,1
2014,W501,Chaoboridae,Cell 37,11
2014,W501,Chironomidae,Cell 37,1
2014,W501,Chaoboridae,Cell 72,13
2014,W501,Chironomidae,Cell 72,3
2014,W501,Amphipoda,Cell 72,1
2014,W501,Hemiptera,Cell 72,1
2014,W501,Chironomidae,Cell 50,3
2014,W501,Amphipoda,Cell 50,1
2014,W501,Chaoboridae,Cell 50,5
2014,W501,Chironomidae,Cell 23,2
2014,W501,Chaoboridae,Cell 23,8
2014,W501,Hemiptera,Cell 23,1
2014,W501,Damaged Organisms,Cell 23,2
2014,W501,Amphipoda,Cell 23,5
2014,W501,Chaoboridae,Cell 84,5
2014,W501,Bivalvia,Cell 84,1
2014,W501,Amphipoda,Cell 84,1
2014,W501,Damaged Organisms,Cell 84,1
2014,W501,Chironomidae,Cell 21,4
2014,W501,Bivalvia,Cell 21,1
2014,W501,Oligochaeta,Cell 21,1
2014,W501,Chaoboridae,Cell 21,9
2014,W501,Chaoboridae,Cell 93,7
2014,W501,Chironomidae,Cell 93,5
2014,W501,Bivalvia,Cell 93,1
2014,W501,Damaged Organisms,Cell 93,2
2014,W501,Oligochaeta,Cell 66,1
2014,W501,Chironomidae,Cell 66,3
2014,W501,Ceratopogonidae,Cell 66,1
2014,W501,Damaged Organisms,Cell 66,1
2014,W501,Chaoboridae,Cell 66,15
2014,W501,Chaoboridae,Cell 24,10
2014,W501,Chironomidae,Cell 24,3
2014,W501,Amphipoda,Cell 24,4
2014,W501,Oligochaeta,Cell 24,1
2014,W501,Bivalvia,Cell 24,1
2014,W501,Oligochaeta,Cell 16,1
2014,W501,Bivalvia,Cell 16,1
2014,W501,Hydrachnidia,Cell 16,1
2014,W501,Chironomidae,Cell 16,2
2014,W501,Chaoboridae,Cell 16,5
2014,W501,Amphipoda,Cell 41,3
2014,W501,Chironomidae,Cell 41,4
2014,W501,Chaoboridae,Cell 41,11
2014,W501,Damaged Organisms,Cell 41,2
2014,W501,Oligochaeta,Cell 41,1
2014,W501,Hydrachnidia,Cell 41,1
2014,W501,Chaoboridae,Cell 86,7
2014,W501,Chironomidae,Cell 86,1
2014,W501,Damaged Organisms,Cell 32,1
2014,W501,Bivalvia,Cell 32,1
2014,W501,Hydrachnidia,Cell 32,1
2014,W501,Chironomidae,Cell 32,2
2014,W501,Chaoboridae,Cell 32,13
2014,W501,Bivalvia,Cell 6,1
2014,W501,Damaged Organisms,Cell 6,2
2014,W501,Hydrachnidia,Cell 6,2
2014,W501,Chaoboridae,Cell 6,2
2014,W501,Chironomidae,Cell 6,4
2014,W501,Amphipoda,Cell 6,1
2014,W501,Damaged Organisms,Cell 55,6
2014,W501,Oligochaeta,Cell 55,1
2014,W501,Amphipoda,Cell 55,1
2014,W501,Hydrachnidia,Cell 55,2
2014,W501,Bivalvia,Cell 55,1
2014,W501,Chaoboridae,Cell 55,13
2014,W501,Chironomidae,Cell 69,5
2014,W501,Amphipoda,Cell 69,1
2014,W501,Damaged Organisms,Cell 69,1
2014,W501,Chaoboridae,Cell 69,9
2014,W501,Amphipoda,Cell 90,1
2014,W501,Damaged Organisms,Cell 90,3
2014,W501,Chironomidae,Cell 90,7
2014,W501,Chaoboridae,Cell 90,8
2014,W501,Oligochaeta,Cell 45,1
2014,W501,Bivalvia,Cell 45,1
2014,W501,Chironomidae,Cell 45,6
2014,W501,Chaoboridae,Cell 45,23
2014,W501,Chironomidae,Cell 5,4
2014,W501,Damaged Organisms,Cell 5,1
2014,W501,Chaoboridae,Cell 5,3
2014,W501,Oligochaeta,Cell 75,2
2014,W501,Amphipoda,Cell 75,1
2014,W501,Chironomidae,Cell 75,4
2014,W501,Chaoboridae,Cell 75,8
2014,W501,Damaged Organisms,Cell 82,3
2014,W501,Oligochaeta,Cell 82,1
2014,W501,Chaoboridae,Cell 82,4
2014,W501,Chironomidae,Cell 82,1
2014,W502,Chaoboridae,Cell 7,1
2014,W502,Oligochaeta,Cell 89,1
2014,W502,Hydrachnidia,Cell 89,1
2014,W502,Chironomidae,Cell 50,70
2014,W502,Ceratopogonidae,Cell 50,2
2014,W502,Chaoboridae,Cell 50,167
2014,W502,Damaged Organisms,Cell 50,68
2014,W502,Oligochaeta,Cell 50,11
2014,W502,Gastropoda,Cell 50,1
2014,W502,Bivalvia,Cell 50,7
2014,W502,Hydrachnidia,Cell 50,24
2014,W502,Amphipoda,Cell 50,3
2014,W502,Hemiptera,Cell 50,5
2014,W502,Trichoptera,Cell 50,1
2014,W509,Gastropoda,Cell 95,4
2014,W509,Oligochaeta,Cell 50,6
2014,W509,Ephemeroptera,Cell 50,1
2014,W509,Anisoptera,Cell 50,1
2014,W509,Oligochaeta,Cell 37,4
2014,W509,Gastropoda,Cell 37,1
2014,W509,Lepidoptera,Cell 37,1
2014,W509,Oligochaeta,Cell 22,6
2014,W509,Gastropoda,Cell 22,14
2014,W509,Amphipoda,Cell 22,1
2014,W509,Chironomidae,Cell 93,1
2014,W509,Oligochaeta,Cell 93,7
2014,W509,Damaged Organisms,Cell 53,1
2014,W509,Chironomidae,Cell 53,1
2014,W509,Anisoptera,Cell 53,1
2014,W509,Gastropoda,Cell 53,2
2014,W509,Oligochaeta,Cell 53,7
2014,W509,Hydrachnidia,Cell 96,1
2014,W509,Gastropoda,Cell 96,4
2014,W509,Oligochaeta,Cell 96,5
2014,W509,Damaged Organisms,Cell 96,1
2014,W509,Oligochaeta,Cell 55,7
2014,W509,Hirudinea,Cell 55,1
2014,W509,Gastropoda,Cell 55,5
2014,W509,Chironomidae,Cell 55,1
2014,W509,Amphipoda,Cell 55,1
2014,W509,Oligochaeta,Cell 3,13
2014,W509,Gastropoda,Cell 3,11
2014,W509,Hydrachnidia,Cell 3,1
2014,W509,Amphipoda,Cell 3,1
2014,W509,Ephemeroptera,Cell 3,1
2014,W509,Anisoptera,Cell 3,1
2014,W509,Chironomidae,Cell 3,1
2014,W509,Damaged Organisms,Cell 3,1
2014,W509,Gastropoda,Cell 43,2
2014,W509,Oligochaeta,Cell 34,7
2014,W509,Hirudinea,Cell 34,1
2014,W509,Gastropoda,Cell 34,13
2014,W509,Chironomidae,Cell 34,3
2014,W509,Ceratopogonidae,Cell 34,3
2014,W509,Gastropoda,Cell 94,7
2014,W509,Hemiptera,Cell 94,1
2014,W509,Chironomidae,Cell 94,2
2014,W509,Anisoptera,Cell 87,1
2014,W509,Oligochaeta,Cell 87,6
2014,W509,Gastropoda,Cell 87,1
2014,W509,Oligochaeta,Cell 17,8
2014,W509,Gastropoda,Cell 17,2
2014,W509,Amphipoda,Cell 17,3
2014,W509,Ceratopogonidae,Cell 17,1
2014,W509,Oligochaeta,Cell 36,4
2014,W509,Gastropoda,Cell 36,1
2014,W509,Hydrachnidia,Cell 36,1
2014,W509,Amphipoda,Cell 36,4
2014,W509,Ephemeroptera,Cell 36,1
2014,W509,Chironomidae,Cell 36,1
2014,W509,Oligochaeta,Cell 18,1
2014,W509,Hydrachnidia,Cell 18,1
2014,W509,Ephemeroptera,Cell 18,2
2014,W509,Hemiptera,Cell 18,1
2014,W509,Chironomidae,Cell 18,5
2014,W509,Oligochaeta,Cell 30,4
2014,W509,Gastropoda,Cell 30,1
2014,W509,Amphipoda,Cell 30,1
2014,W509,Oligochaeta,Cell 41,3
2014,W509,Chironomidae,Cell 41,4
2014,W509,Oligochaeta,Cell 82,4
2014,W509,Anisoptera,Cell 82,2
2014,W509,Chironomidae,Cell 82,2
2014,W509,Oligochaeta,Cell 70,2
2014,W509,Chironomidae,Cell 70,2
2014,W509,Oligochaeta,Cell 80,1
2014,W509,Oligochaeta,Cell 59,9
2014,W509,Hydrachnidia,Cell 59,1
2014,W509,Hemiptera,Cell 59,1
2014,W509,Chironomidae,Cell 59,2
2014,W509,Oligochaeta,Cell 8,9
2014,W509,Gastropoda,Cell 8,4
2014,W509,Hydrachnidia,Cell 8,1
2014,W509,Amphipoda,Cell 8,3
2014,W509,Zygoptera,Cell 8,1
2014,W509,Lepidoptera,Cell 8,1
2014,W509,Trichoptera,Cell 8,1
2014,W509,Chironomidae,Cell 8,3
2014,W509,Oligochaeta,Cell 16,10
2014,W509,Gastropoda,Cell 16,4
2014,W509,Hydrachnidia,Cell 16,1
2014,W509,Amphipoda,Cell 16,1
2014,W509,Hemiptera,Cell 16,3
2014,W509,Lepidoptera,Cell 16,1
2014,W509,Trichoptera,Cell 16,1
2014,W509,Chironomidae,Cell 16,2
2014,W509,Damaged Organisms,Cell 9,3
2014,W509,Oligochaeta,Cell 9,2
2014,W509,Gastropoda,Cell 9,3
2014,W509,Amphipoda,Cell 9,1
2014,W509,Chironomidae,Cell 9,2
2014,W509,Oligochaeta,Cell 25,5
2014,W509,Gastropoda,Cell 25,7
2014,W509,Amphipoda,Cell 25,1
2014,W509,Chironomidae,Cell 25,2
2014,W509,Anisoptera,Cell 54,7
2014,W509,Zygoptera,Cell 54,4
2014,W509,Hemiptera,Cell 54,7
2014,W509,Lepidoptera,Cell 54,5
2014,W509,Trichoptera,Cell 54,7
2014,W509,Chironomidae,Cell 54,106
2014,W509,Ceratopogonidae,Cell 54,3
2014,W509,Chaoboridae,Cell 54,2
2014,W509,Damaged Organisms,Cell 54,7
2014,W509,Oligochaeta,Cell 54,399
2014,W509,Hirudinea,Cell 54,3
2014,W509,Gastropoda,Cell 54,213
2014,W509,Bivalvia,Cell 54,1
2014,W509,Hydrachnidia,Cell 54,6
2014,W509,Amphipoda,Cell 54,29
2014,W509,Ephemeroptera,Cell 54,5
2014,W510,Amphipoda,Cell 41,4
2014,W510,Damaged Organisms,Cell 33,2
2014,W510,Oligochaeta,Cell 33,16
2014,W510,Amphipoda,Cell 33,8
2014,W510,Ephemeroptera,Cell 33,1
2014,W510,Trichoptera,Cell 33,5
2014,W510,Chironomidae,Cell 33,24
2014,W510,Chaoboridae,Cell 33,1
2014,W511,Chaoboridae,Cell 65,2
2014,W511,Chironomidae,Cell 65,1
2014,W511,Zygoptera,Cell 65,2
2014,W511,Anisoptera,Cell 65,1
2014,W511,Ephemeroptera,Cell 65,5
2014,W511,Amphipoda,Cell 65,6
2014,W511,Damaged Organisms,Cell 65,4
2014,W511,Gastropoda,Cell 65,7
2014,W511,Chironomidae,Cell 92,1
2014,W511,Zygoptera,Cell 92,2
2014,W511,Ephemeroptera,Cell 92,5
2014,W511,Amphipoda,Cell 92,2
2014,W511,Hydrachnidia,Cell 92,1
2014,W511,Gastropoda,Cell 92,4
2014,W511,Damaged Organisms,Cell 92,1
2014,W511,Chironomidae,Cell 36,1
2014,W511,Zygoptera,Cell 36,2
2014,W511,Anisoptera,Cell 36,1
2014,W511,Ephemeroptera,Cell 36,5
2014,W511,Oligochaeta,Cell 36,2
2014,W511,Gastropoda,Cell 36,1
2014,W511,Amphipoda,Cell 36,5
2014,W511,Chaoboridae,Cell 89,2
2014,W511,Chironomidae,Cell 89,3
2014,W511,Zygoptera,Cell 89,3
2014,W511,Ephemeroptera,Cell 89,3
2014,W511,Amphipoda,Cell 89,2
2014,W511,Oligochaeta,Cell 89,3
2014,W511,Gastropoda,Cell 89,4
2014,W511,Chaoboridae,Cell 5,1
2014,W511,Zygoptera,Cell 5,1
2014,W511,Ephemeroptera,Cell 5,2
2014,W511,Damaged Organisms,Cell 5,1
2014,W511,Oligochaeta,Cell 5,1
2014,W511,Amphipoda,Cell 5,4
2014,W511,Hemiptera,Cell 44,1
2014,W511,Zygoptera,Cell 44,3
2014,W511,Ephemeroptera,Cell 44,4
2014,W511,Amphipoda,Cell 44,2
2014,W511,Gastropoda,Cell 44,10
2014,W511,Chironomidae,Cell 44,1
2014,W511,Chaoboridae,Cell 42,2
2014,W511,Damaged Organisms,Cell 42,1
2014,W511,Gastropoda,Cell 42,6
2014,W511,Hydrachnidia,Cell 42,1
2014,W511,Amphipoda,Cell 42,7
2014,W511,Ephemeroptera,Cell 42,2
2014,W511,Anisoptera,Cell 42,1
2014,W511,Zygoptera,Cell 42,4
2014,W511,Damaged Organisms,Cell 62,2
2014,W511,Gastropoda,Cell 62,1
2014,W511,Hydrachnidia,Cell 62,2
2014,W511,Amphipoda,Cell 62,5
2014,W511,Ephemeroptera,Cell 62,3
2014,W511,Zygoptera,Cell 62,7
2014,W511,Chironomidae,Cell 62,3
2014,W511,Chaoboridae,Cell 62,2
2014,W511,Damaged Organisms,Cell 84,3
2014,W511,Oligochaeta,Cell 84,2
2014,W511,Gastropoda,Cell 84,8
2014,W511,Amphipoda,Cell 84,5
2014,W511,Ephemeroptera,Cell 84,1
2014,W511,Zygoptera,Cell 84,1
