Site Number,Identification Date ,Coarse Sorting Group,Family          (Sub-family for Chironomidae),Genus & Species,Number of Specimens,Confirmed.Family,Confirmed.Genus & Species
CABIN-W418,18-Jun-20,Oligochaeta,Naididae,Nais sp.,12,Naididae,Nais simplex
CABIN-W418,,Oligochaeta,,split,1,Naididae,Nais variabilis
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais communis
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais simplex
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,UID,,,
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,UID,,,
CABIN-W418,19-Jun-20,Oligochaeta,Naididae,UID,,,
CABIN-W418,19-Jun-20,Oligochaeta,SNI,SNI,,,
CABIN-W418,19-Jun-19,Gastropoda,Planorbidae,Gyraulus sp.,,,
CABIN-W418,19-Jun-19,Bivalvia,Sphaeriidae,UID,,,
CABIN-W418,21-Oct-20,Hydrachnidia,Limnesiidae,Limnesia sp.,,,
CABIN-W418,21-Oct-20,Hydrachnidia,Unionicolidae,Unionicola sp.,,,
CABIN-W418,21-Oct-20,Acari,Bdellidae,UID,,,
CABIN-W418,21-Oct-20,Acari,Damaeidae,UID,,,
CABIN-W418,,Cladocera,,,,,
CABIN-W418,,Ostracoda,,,,,
CABIN-W418,,Copepoda,,,,,
CABIN-W418,19-Jun-19,Amphipoda,Hyalellidae,Hyalella sp.,,,
CABIN-W418,,Isopoda,,,,,
CABIN-W418,,Decapoda,,,,,
CABIN-W418,19-Jun-19,Ephemeroptera,Baetidae,Procloeon sp.,,,
CABIN-W418,19-Jun-19,Ephemeroptera,Baetidae,UID,,,
CABIN-W418,19-Jun-19,Ephemeroptera,Caenidae,Caenis sp.,,,
CABIN-W418,,Anisoptera,,,,,
CABIN-W418,19-Jun-19,Zygoptera,UID,UID,,,
CABIN-W418,,Plecoptera,,,,,
CABIN-W418,19-Jun-19,Hemiptera,Corixidae,UID,,,
CABIN-W418,,Megaloptera,,,,,
CABIN-W418,,Lepidoptera,,,,,
CABIN-W418,,Trichoptera,,,,,
CABIN-W418,,Coleoptera (adults),,,,,
CABIN-W418,,Coleoptera (larvae),,,,,
CABIN-W418,3-Apr-20,Chironomidae,Chironominae,Paratanytarsus sp. B RPH,,,
CABIN-W418,3-Apr-20,Chironomidae,Chironominae,Tanytarsus sp. D RPH,,,
CABIN-W418,3-Apr-20,Chironomidae,Chironominae,Tanytarsus sp.,,,
CABIN-W418,3-Apr-20,Chironomidae,Orthocladiinae,Cricotopus sp. C RPH,,,
CABIN-W418,3-Apr-20,Chironomidae,Orthocladiinae,Cricotopus sp. E RPH,,,
CABIN-W418,3-Apr-20,Chironomidae,Orthocladiinae,Cricotopus sp.,,,
CABIN-W418,3-Apr-20,Chironomidae,Orthocladiinae,Psectrocladius sp. D RPH,,,
CABIN-W418,,Ceratopogonidae,,,,,
CABIN-W418,,Tabanidae,,,,,
CABIN-W418,,Tipulidae,,,,,
CABIN-W418,,Culicidae,,,,,
CABIN-W418,,Chaoboridae,,,,,
CABIN-W418,,Simuliidae,,,,,
CABIN-W418,,Other Diptera,,,,,
CABIN-W418,,Other: ,,,,,
CABIN-W418,,UMOS,,,,,
CABIN-W419,,Porifera,,,,,
CABIN-W419,,Hydrozoa,,,,,
CABIN-W419,,Platyhelminthes,,,,,
CABIN-W419,,Nematoda,,,,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,77,Naididae,Stylaria lacustris
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,UID,0,,
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,UID
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Nais sp.,2,Naididae,Nais variabilis
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Slavina appendiculata,5,Naididae,Slavina appendiculata
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Specaria sp.,1,Naididae,Nais communis
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Specaria sp.,1,Naididae,Nais communis
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,UID,2,Naididae,UID
CABIN-W419,29-Jun-20,Oligochaeta,Naididae,Stylaria lacustris,23,Naididae,Stylaria lacustris
CABIN-W419,,Hirudinea,,,,,
CABIN-W419,18-Jun-19,Gastropoda,Valvatidae,Valvata lewisi,,,
CABIN-W419,18-Jun-19,Gastropoda,Planorbidae,Gyraulus deflectus,,,
CABIN-W419,18-Jun-19,Gastropoda,Planorbidae,Menetus opercularis,,,
CABIN-W419,18-Jun-19,Gastropoda,Planorbidae,UID,,,
CABIN-W419,18-Jun-19,Bivalvia,Sphaeriidae,UID,,,
CABIN-W419,22-Oct-20,Hydrachnidia,Limnesiidae,Limnesia sp.,,,
CABIN-W419,22-Oct-20,Hydrachnidia,Limnocharidae,Limnochares sp.,,,
CABIN-W419,22-Oct-20,Hydrachnidia,Unionicolidae,Unionicola sp.,,,
CABIN-W419,22-Oct-20,Hydrachnidia,UID,UID,,,
CABIN-W419,22-Oct-20,Acari,Hydrozetidae,Hydrozetes sp.,,,
CABIN-W419,,Cladocera,,,,,
CABIN-W419,,Ostracoda,,,,,
CABIN-W419,,Copepoda,,,,,
CABIN-W419,18-Jun-19,Amphipoda,Hyalellidae,Hyalella sp.,,,
CABIN-W419,,Isopoda,,,,,
CABIN-W419,,Decapoda,,,,,
CABIN-W419,18-Jun-19,Ephemeroptera,Caenidae,Caenis sp.,,,
CABIN-W419,18-Jun-19,Ephemeroptera,Caenidae,UID,,,
CABIN-W419,18-Jun-19,Ephemeroptera,Baetidae,UID,,,
CABIN-W419,18-Jun-19,Anisoptera,UID,UID,,,
CABIN-W419,18-Jun-19,Zygoptera,UID,UID,,,
CABIN-W419,,Plecoptera,,,,,
CABIN-W419,18-Jun-19,Hemiptera,Notonectidae,Buenoa sp.,,,
CABIN-W419,18-Jun-19,Hemiptera,Notonectidae,Notonecta sp.,,,
CABIN-W419,18-Jun-19,Hemiptera,Corixidae,Cymatia sp.,,,
CABIN-W419,18-Jun-19,Hemiptera,Corixidae,UID,,,
CABIN-W419,,Megaloptera,,,,,
CABIN-W419,18-Jun-19,Lepidoptera,Crambidae,UID,1,Crambidae,UID
CABIN-W419,18-Jun-19,Trichoptera,Limnephilidae,UID,,,
CABIN-W419,18-Jun-19,Trichoptera,Phryganeidae,UID,,,
CABIN-W419,18-Jun-19,Trichoptera,Phryganeidae,Phryganea sp.,1,Phryganeidae,Phryganea sp.
CABIN-W419,19-Jun-19,Coleoptera (adults),Haliplidae,Haliplus immaculicollis,,,
CABIN-W419,19-Jun-19,Coleoptera (adults),Haliplidae,Haliplus canadensis,1,Haliplidae,Haliplus canadensis
CABIN-W419,19-Jun-19,Coleoptera (larvae),Gyrinidae,Gyrinus sp.,,,
CABIN-W419,16-Apr-20,Chironomidae,Chironominae,Endochrinomus nigricans,,,
CABIN-W419,16-Apr-20,Chironomidae,Chironominae,Parachironomus sp. D RPH,,,
CABIN-W419,16-Apr-20,Chironomidae,Chironominae,Parachironomus sp.,,,
CABIN-W419,16-Apr-20,Chironomidae,Chironominae,Paratanytarsus sp. B RPH,,,
CABIN-W419,16-Apr-20,Chironomidae,Chironominae,Tanytarsus sp. B RPH,,,
CABIN-W419,16-Apr-20,Chironomidae,Chironominae,UID,,,
CABIN-W419,16-Apr-20,Chironomidae,Orthocladiinae,Corynoneura sp. C RPH,,,
CABIN-W419,16-Apr-20,Chironomidae,Orthocladiinae,Cricotopus sp. B RPH,,,
CABIN-W419,16-Apr-20,Chironomidae,Orthocladiinae,Cricotopus sp. E RPH,,,
CABIN-W419,16-Apr-20,Chironomidae,Tanypodinae,Ablabesmyia sp. E RPH,,,
CABIN-W419,16-Apr-20,Chironomidae,Tanypodinae,Procladius sp. A RPH,,,
CABIN-W419,19-Jun-19,Ceratopogonidae,Ceratopogonidae,Bezzia/Palpomyia sp.,4,Ceratopogonidae,Bezzia/Palpomyia sp.
CABIN-W419,19-Jun-19,Ceratopogonidae,Ceratopogonidae,UID,1,Ceratopogonidae,Bezzia/Probezzia/Palpomyia sp.
CABIN-W419,,Tabanidae,,,,,
CABIN-W419,,Tipulidae,,,,,
CABIN-W419,,Culicidae,,,,,
CABIN-W419,,Chaoboridae,,,,,
CABIN-W419,,Simuliidae,,,,,
CABIN-W419,,Other Diptera,,,,,
CABIN-W419,,Other: ,,,,,
CABIN-W419,19-Jun-19,UMOS,Siphlonuridae,Siphlonurus sp.,,,
CABIN-W419,19-Jun-19,UMOS,Corduliidae,UID,,,
CABIN-W419,19-Jun-19,UMOS,Notonectidae,Buenoa sp.,,,
CABIN-W419,19-Jun-19,UMOS,Notonectidae,Notonecta sp.,,,
CABIN-W419,19-Jun-19,UMOS,Corixidae,UID,,,
CABIN-W419,19-Jun-19,UMOS,Gyrinidae,Gyrinus pectoralis,2,Gyrinidae,Gyrinus pectoralis
CABIN-W450,,Porifera,,,,,
CABIN-W450,,Hydrozoa,,,,,
CABIN-W450,,Platyhelminthes,,,,,
CABIN-W450,,Nematoda,,,,,
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster diaphanus
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster limnaei
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster limnaei
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster limnaei
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster limnaei
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster limnaei
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster limnaei
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,1,Naididae,Chaetogaster limnaei
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,64,Naididae,Chaetogaster limnaei
CABIN-W450,,Oligochaeta,,split,1,Naididae,Chaetogaster diaphanus
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Pristina leidyi/longiseta
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Pristina leidyi/longiseta
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Pristina leidyi/longiseta
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Pristina leidyi/longiseta
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Pristina leidyi/longiseta
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Pristina leidyi/longiseta
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Slavina appendiculata,,,
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais communis
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais communis
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais communis
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais communis
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,UID,,,
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,UID,8,Naididae,UID
CABIN-W450,,Oligochaeta,,split,4,Naididae,Dero sp.
CABIN-W450,,Oligochaeta,,split,3,Naididae,Nais communis
CABIN-W450,,Oligochaeta,,split,1,Naididae,Nais variabilis
CABIN-W450,,Oligochaeta,,split,4,Naididae,Pristina leidyi/longiseta
CABIN-W450,,Oligochaeta,,split,2,Naididae,Slavina appendiculata
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Nais sp.,3,Naididae,Nais communis
CABIN-W450,22-Jul-20,Oligochaeta,Naididae,Chaetogaster sp.,0,,
CABIN-W450,21-Jun-19,Hirudinea,Glossiphoniidae,Placobdella ornata,1,Glossiphoniidae,Placobdella sp.
CABIN-W450,21-Jun-19,Hirudinea,Erpobdellidae,UID,,,
CABIN-W450,21-Jun-19,Gastropoda,Ancylidae,Ferrissia fragilis,6,Ancylidae,Ferrissia fragilis
CABIN-W450,21-Jun-19,Gastropoda,Ancylidae,UID,,,
CABIN-W450,21-Jun-19,Gastropoda,Planorbidae,UID,,,
CABIN-W450,21-Jun-19,Gastropoda,Lymnaeidae,UID,,,
CABIN-W450,21-Jun-19,Bivalvia,Sphaeriidae,UID,,,
CABIN-W450,22-Oct-20,Hydrachnidia,Arrenuridae,Arrenurus sp.,,,
CABIN-W450,22-Oct-20,Hydrachnidia,Unionicolidae,Unionicola sp.,,,
CABIN-W450,22-Oct-20,Hydrachnidia,UID,UID,,,
CABIN-W450,22-Oct-20,Acari,Hydrozetidae,Hydrozetes sp.,,,
CABIN-W450,22-Oct-20,Acari,Malaconothridae,Trimalaconothrus sp.,,,
CABIN-W450,22-Oct-20,Acari,Halacaridae,Porolohmannella violacea,,,
CABIN-W450,,Cladocera,,,,,
CABIN-W450,,Ostracoda,,,,,
CABIN-W450,,Copepoda,,,,,
CABIN-W450,21-Jun-19,Amphipoda,Hyalellidae,Hyalella sp.,,,
CABIN-W450,,Isopoda,,,,,
CABIN-W450,,Decapoda,,,,,
CABIN-W450,24-Jun-19,Ephemeroptera,Siphlonuridae,Siphlonurus sp.,,,
CABIN-W450,24-Jun-19,Ephemeroptera,Caenidae,UID,,,
CABIN-W450,24-Jun-19,Anisoptera,Aeshnidae,Aeshna sp.,,,
CABIN-W450,24-Jun-19,Anisoptera,Corduliidae,UID,,,
CABIN-W450,24-Jun-19,Anisoptera,UID,UID,,,
CABIN-W450,24-Jun-19,Zygoptera,Coenagrionidae,Enallagma sp.,,,
CABIN-W450,24-Jun-19,Zygoptera,Coenagrionidae,UID,,,
CABIN-W450,24-Jun-19,Zygoptera,UID,UID,,,
CABIN-W450,,Plecoptera,,,,,
CABIN-W450,24-Jun-19,Hemiptera,Notonectidae,Notonecta sp.,,,
CABIN-W450,24-Jun-19,Hemiptera,Corixidae,UID,,,
CABIN-W450,,Megaloptera,,,,,
CABIN-W450,24-Jun-19,Lepidoptera,Pyralidae,UID,1,Crambidae,UID
CABIN-W450,24-Jun-19,Trichoptera,Phryganeidae,UID,,,
CABIN-W450,24-Jun-19,Trichoptera,UID,UID,,,
CABIN-W450,24-Jun-19,Coleoptera (adults),Haliplidae,Haliplus immaculicollis,,,
CABIN-W450,,Coleoptera (larvae),,,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Chironomus sp. A RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Chironomus sp. C RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Chironomus sp. ,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Endochironomus nigricans,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Endochironomus sp.,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Glyptotendipes sp. E RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Glyptotendipes sp. I RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Microtendipes sp. A RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Omisus sp.,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Paratanytarsus sp. B RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Polypedilum sp. A RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Polypedilum sp. C RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Polypedilum sp. F RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Polypedilum sp.,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Tanytarsus sp. B RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Tanytarsus sp. G RPH,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,Tanytarsus sp. ,,,
CABIN-W450,5-May-20,Chironomidae,Chironominae,UID,,,
CABIN-W450,5-May-20,Chironomidae,Orthocladiinae,Cricotopus sp.,,,
CABIN-W450,5-May-20,Chironomidae,Orthocladiinae,Psectrocladius sp. I RPH,,,
CABIN-W450,5-May-20,Chironomidae,Orthocladiinae,UID,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Ablabesmyia sp. A RPH,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Ablabesmyia sp. H RPH,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Guttipelopia guttipennis,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Guttipelopia sp.,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Labrundinia neopilosella,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Procladius sp. A RPH,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Procladius sp. E RPH,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Procladius sp.,,,
CABIN-W450,5-May-20,Chironomidae,Tanypodinae,Thienemannimyia group,,,
CABIN-W450,24-Jun-19,Ceratopogonidae,Ceratopogonidae,Bezzia/Palpomyia sp.,1,Ceratopogonidae,Bezzia/Palpomyia sp.
CABIN-W450,24-Jun-19,Ceratopogonidae,Ceratopogonidae,UID,1,Ceratopogonidae,Ceratopogon/Culicoides/Stilobezzia sp.
CABIN-W450,,Tabanidae,,,,,
CABIN-W450,,Tipulidae,,,,,
CABIN-W450,,Culicidae,,,,,
CABIN-W450,24-Jun-19,Chaoboridae,Chaoboridae,Chaoborus americanus,3,Chaoboridae,Chaoborus americanus
CABIN-W450,24-Jun-19,Chaoboridae,Chaoboridae,Chaoborus sp.,2,Chaoboridae,Chaoborus sp.
CABIN-W450,,Simuliidae,,,,,
CABIN-W450,24-Jun-19,Other Diptera,UID,UID,1,Tipulidae,UID
,,,,split,1,UID,UID
CABIN-W450,,Other: ,,,,,
CABIN-W450,24-Jun-19,UMOS,Lymnaeidae,Lymnaea sp.,,,
CABIN-W450,24-Jun-19,UMOS,Lestidae,Lestes sp.,1,Lestidae,Lestes sp.
CABIN-W450,24-Jun-19,UMOS,Belostomatidae,Lethocerus sp.,,,
CABIN-W450,24-Jun-19,UMOS,Limnephilidae,Limnephilus sp.,1,Limnephilidae,Limnephilus cf. externus
CABIN-W450,24-Jun-19,UMOS,Gyrinidae,Gyrinus sp.,,,
CABIN-W450,24-Jun-19,UMOS,Dytiscidae,Graphoderus liberus,1,Dytiscidae,Graphoderus liberus
CABIN-W450,24-Jun-19,UMOS,Dytiscidae,Graphoderus perplexus,2,Dytiscidae,Graphoderus perplexus
CABIN-W478,,Porifera,,,,,
CABIN-W478,,Hydrozoa,,,,,
CABIN-W478,,Platyhelminthes,,,,,
CABIN-W478,,Nematoda,,,,,
CABIN-W478,7-Aug-20,Oligochaeta,Naididae,Nais sp,1,Naididae,Nais simplex
CABIN-W478,7-Aug-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Stylaria lacustris
CABIN-W478,7-Aug-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Stylaria lacustris
CABIN-W478,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478,7-Aug-20,Oligochaeta,Naididae,UID,1,Naididae,Stylaria lacustris
CABIN-W478,,Hirudinea,,,,,
CABIN-W478,19-Jun-19,Gastropoda,Planorbidae,UID,,,
CABIN-W478,19-Jun-19,Bivalvia,Sphaeriidae,UID,,,
CABIN-W478,22-Oct-20,Hydrachnidia,Arrenuridae,Arrenurus sp.,,,
CABIN-W478,22-Oct-20,Hydrachnidia,Eylaidae,Eylais sp.,,,
CABIN-W478,22-Oct-20,Hydrachnidia,Limnesiidae,Limnesia sp.,,,
CABIN-W478,22-Oct-20,Hydrachnidia,Pionidae,Piona sp.,,,
CABIN-W478,22-Oct-20,Hydrachnidia,Unionicolidae,Unionicola sp.,,,
CABIN-W478,22-Oct-20,Hydrachnidia,UID,UID,,,
CABIN-W478,22-Oct-20,Acari,Hydrozetidae,Hydrozetes sp.,,,
CABIN-W478,,Cladocera,,,,,
CABIN-W478,,Ostracoda,,,,,
CABIN-W478,,Copepoda,,,,,
CABIN-W478,19-Jun-19,Amphipoda,Hyalellidae,Hyalella sp.,,,
CABIN-W478,,Isopoda,,,,,
CABIN-W478,,Decapoda,,,,,
CABIN-W478,19-Jun-19,Ephemeroptera,Caenidae,Caenis sp.,,,
CABIN-W478,19-Jun-19,Ephemeroptera,Caenidae,UID,,,
CABIN-W478,19-Jun-19,Ephemeroptera,Baetidae,UID,,,
CABIN-W478,,Anisoptera,,,,,
CABIN-W478,19-Jun-19,Zygoptera,UID,UID,,,
CABIN-W478,,Plecoptera,,,,,
CABIN-W478,19-Jun-19,Hemiptera,Notonectidae,Notonecta sp.,,,
CABIN-W478,19-Jun-19,Hemiptera,Corixidae,UID,,,
CABIN-W478,19-Jun-19,Hemiptera,Corixidae,Sigara penniensis,1,Corixidae,Sigara penniensis
CABIN-W478,19-Jun-19,Hemiptera,UID,UID,,,
CABIN-W478,,Megaloptera,,,,,
CABIN-W478,,Lepidoptera,,,,,
CABIN-W478,19-Jun-19,Trichoptera,Limnephilidae,UID,,,
CABIN-W478,19-Jun-19,Coleoptera (adults),Gyrinidae,Gyrinus pectoralis,2,Gyrinidae,Gyrinus pectoralis
CABIN-W478,19-Jun-19,Coleoptera (larvae),Dytiscidae,Graphoderus liberus,1,Dytiscidae,Graphoderus liberus
CABIN-W478,19-Jun-19,Coleoptera (larvae),Hydroporinae,UID,,,
CABIN-W478,20-May-20,Chironomidae,Chironominae,Paratanytarsus sp. B RPH,,,
CABIN-W478,20-May-20,Chironomidae,Chironominae,Paratanytarsus sp.,,,
CABIN-W478,20-May-20,Chironomidae,Chironominae,UID,,,
CABIN-W478,20-May-20,Chironomidae,Orthocladiinae,Corynoneura sp. C RPH,,,
CABIN-W478,20-May-20,Chironomidae,Orthocladiinae,Cricotopus sp. C RPH,,,
CABIN-W478,20-May-20,Chironomidae,Orthocladiinae,Psectrocladius sp. F RPH,,,
CABIN-W478,20-May-20,Chironomidae,Orthocladiinae,Psectrocladius sp. L RPH,,,
CABIN-W478,20-May-20,Chironomidae,Tanypodinae,Labrundinia neopilosella,,,
CABIN-W478,19-Jun-19,Ceratopogonidae,Ceratopogonidae,Bezzia/Palpomyia sp.,1,Ceratopogonidae,Bezzia/Palpomyia sp.
CABIN-W478,,Tabanidae,,,,,
CABIN-W478,,Tipulidae,,,,,
CABIN-W478,,Culicidae,,,,,
CABIN-W478,19-Jun-19,Chaoboridae,Chaoboridae,Chaoborus sp.,,,
CABIN-W478,,Simuliidae,,,,,
CABIN-W478,,Other Diptera,,,,,
CABIN-W478,,Other: ,,,,,
CABIN-W478,,UMOS,,,,,
CABIN-W478-2,,Porifera,,,,,
CABIN-W478-2,,Hydrozoa,,,,,
CABIN-W478-2,,Platyhelminthes,,,,,
CABIN-W478-2,,Nematoda,,,,,
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Stylaria lacustris,,,
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Nais sp.,1,Naididae,Nais variabilis
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,UID
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,Pristina sp.,1,Naididae,Pristina leidyi/longiseta
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,UID,1,Naididae,Pristina leidyi/longiseta
CABIN-W478-2,7-Aug-20,Oligochaeta,Naididae,UID,1,Naididae,Stylaria lacustris
CABIN-W478-2,7-Aug-20,Hirudinea,,,,,
CABIN-W478-2,2-Jul-19,Gastropoda,Planorbidae,UID,,,
CABIN-W478-2,,Bivalvia,,,,,
CABIN-W478-2,22-Oct-20,Hydrachnidia,Eylaidae,Eylais sp.,,,
CABIN-W478-2,22-Oct-20,Hydrachnidia,Limnesiidae,Limnesia sp.,,,
CABIN-W478-2,22-Oct-20,Hydrachnidia,Pionidae,Piona sp.,,,
CABIN-W478-2,22-Oct-20,Hydrachnidia,UID,UID,,,
CABIN-W478-2,22-Oct-20,Acari,Hydrozetidae,Hydrozetes sp.,,,
CABIN-W478-2,,Cladocera,,,,,
CABIN-W478-2,,Ostracoda,,,,,
CABIN-W478-2,,Copepoda,,,,,
