Site Number,Sorted By,Date Sorted,Coarse Sorting Group,Coarse Sorting Count,Number of Cells Counted in Marchant Box,Lab Comments,Identified By,Identification Date ,Family          (Sub-family for Chironomidae),Genus & Species,Life Stage,Advanced ID Count,Reference Used,Advanced ID Comments,Number of Specimens,Verified by,Verification Date,Family,Genus & Species,Reference Used,Verification Comments,Voucher Selected By,Date Selected,Number of Voucher Specimens ,Vial,Number of Non-voucher Specimens,TMS number,Date Entered in TMS,Comments
W450,CUH,17-Aug-2018,Oligochaeta,106,12,,ALA,20-Jul-2020,Lumbriculidae,Lumbriculus sp.,unknown,1,Thorp 2016,,,,,,,,,ALA,20-Jul-2020,1,slide,0,ABMI.A.42736,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,20-Jul-2020,Naididae,Chaetogaster sp.,unknown,4,Thorp 2016,,1,ALA,12-Nov-20,Naididae,Chaetogaster diastrophus,Brinkhurst 1986,check if immature diaphanus,ALA,20-Jul-2020,0,slide,1,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,,,,split,,split,,,3,ALA,17-Nov-20,Naididae,Chaetogaster diaphanus,Brinkhurst 1986,,ALA,17-Nov-2020,3,slide,0,ABMI.A.42793,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,20-Jul-2020,Naididae,Pristina longiseta,unknown,2,Hiltunen 1980,,13,ALA,12-Nov-20,Naididae,Pristina leidyi/longiseta,Brinkhurst 1986,,ALA,20-Jul-2020,0,slide,13,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,27-Jul-2020,Naididae,Pristina osborni,unknown,1,Hiltunen 1980,,1,ALA,12-Nov-20,Naididae,Pristina aequiseta,Brinkhurst 1986,,ALA,30-Jul-2020,0,slide,1,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,27-Jul-2020,Naididae,Pristina sp.,unknown,8,Hiltunen 1980,,0,,,,,,moved into species IDs above,ALA,30-Jul-2020,0,slide,0,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,27-Jul-2020,Naididae,Nais sp.,unknown,17,Hiltunen 1980,,13,ALA,12-Nov-20,Naididae,Nais variabilis,Brinkhurst 1986,,ALA,30-Jul-2020,0,slide,13,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,27-Jul-2020,Naididae,split,unknown,split,,,3,ALA,12-Nov-20,Naididae,Nais communis,Brinkhurst 1986,,ALA,12-Nov-2020,0,slide,3,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,27-Jul-2020,Naididae,Slavina sp.,unknown,1,Hiltunen 1980,,37,ALA,12-Nov-20,Naididae,Slavina appendiculata,Brinkhurst 1986,,ALA,30-Jul-2020,0,slide,37,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,29-Oct-2020,Naididae,Vejdovskyella sp.,unknown,1,Thorp 2016,,3,ALA,12-Nov-20,Naididae,Vejdovskyella comata,Brinkhurst 1986,,ALA,29-Oct-2020,0,slide,3,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,29-Oct-2020,Naididae,Dero sp.,unknown,4,Thorp 2016,,2,ALA,12-Nov-20,Naididae,Dero digitata,Brinkhurst 1986,"uncertain, tentative ID",ALA,29-Oct-2020,0,slide,2,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,27-Jul-2020,Naididae,UID,unknown,47,Thorp 2016,,14,ALA,12-Nov-20,Naididae,UID,Brinkhurst 1986,,ALA,30-Jul-2020,0,slide,14,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,27-Jul-2020,Naididae,split,unknown,split,,,1,ALA,12-Nov-20,Naididae,UID,Brinkhurst 1986,"""Tubificidae"" UID immature with hair chaetae",ALA,12-Nov-2020,0,slide,1,VNA,,
W450,CUH,17-Aug-2018,Oligochaeta,split,12,,ALA,27-Jul-2020,Lumbriculidae,UID,unknown,1,Thorp 2016,,,,,,,,,ALA,30-Jul-2020,0,slide,1,VNA,,
W450,CUH,17-Aug-2018,Hirudinea,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Gastropoda,19,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Bivalvia,45,12,,ALA,20-Jul-2020,Sphaeriidae,UID,unknown,45,Clifford 1991,,,,,,,,,ALA,20-Jul-2020,0,mv,45,VNA,,
W450,CUH,17-Aug-2018,Hydrachnidia,4,12,,ALA,20-Jul-2020,Arrenuridae,Arrenurus sp.,adult,2,Proctor 2006,females,,,,,,,,ALA,20-Jul-2020,2,mv,0,ABMI.A.42739,,
W450,CUH,17-Aug-2018,Hydrachnidia,split,12,,ALA,22-Oct-2020,Arrenuridae,Arrenurus sp.,deutonymph,2,Proctor 2006,look like Arrenurus,,,,,,,,ALA,22-Oct-2020,2,mv,0,ABMI.A.42948,,
W450,CUH,17-Aug-2018,Amphipoda,11,12,,ALA,20-Jul-2020,Hyalellidae,Hyalella sp.,unknown,1,Marron-Becerra 2020,didn't key out,,,,,,,,ALA,20-Jul-2020,1,slide,0,ABMI.A.42765,,
W450,CUH,17-Aug-2018,Amphipoda,split,12,,ALA,20-Jul-2020,Hyalellidae,Hyalella sp.,unknown,10,Thorp 2016,,,,,,,,,ALA,20-Jul-2020,10,mv,0,ABMI.A.42740,,
W450,CUH,17-Aug-2018,Isopoda,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Decapoda,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Ephemeroptera,3,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Anisoptera,2,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Zygoptera,6,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Plecoptera,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Hemiptera,27,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Megaloptera,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Lepidoptera,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Trichoptera,1,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Coleoptera (adults),0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Coleoptera (larvae),4,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Chironomidae,105,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Ceratopogonidae,1,12,,ALA,20-Jul-2020,Ceratopogoninae,Bezzia/Palpomyia/Probezzia sp.,larva,1,Merritt 2019,several genera inseparable,,,,,,,,ALA,20-Jul-2020,1,slide,0,ABMI.A.42741,,
W450,CUH,17-Aug-2018,Tabanidae,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Tipulidae,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Culicidae,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Chaoboridae,48,12,,ALA,30-Jul-2020,Chaoborinae,Chaoborus trivittatus,larva,1,Haney 2013,,,,,,,,,ALA,30-Jul-2020,1,mv,0,ABMI.A.42744,,
W450,CUH,17-Aug-2018,Chaoboridae,48,12,,ALA,30-Jul-2020,Chaoborinae,Chaoborus americanus,larva,26,Haney 2013,,,,,,,,,ALA,30-Jul-2020,26,mv,0,ABMI.A.42745,,
W450,CUH,17-Aug-2018,Chaoboridae,48,12,,ALA,30-Jul-2020,Chaoborinae,Chaoborus sp.,larva,21,Haney 2013,,,,,,,,,ALA,30-Jul-2020,21,mv,0,ABMI.A.42746,,
W450,CUH,17-Aug-2018,Simuliidae,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Other Diptera,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,Other: ,0,12,,,,,,,,,,,,,,,,,,,,,,,,
W450,CUH,17-Aug-2018,UMOS,6,12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Oligochaeta,6,100,,ALA,4-Aug-2020,Naididae,Stylaria lacustris,unknown,3,Thorp 2016,non-voucher on separate slide,,,,,,,,ALA,6-Aug-2020,2,slide,1,ABMI.A.42752,,
W478,YDV,23-Aug-2018,Oligochaeta,split,100,,ALA,4-Aug-2020,Lumbriculidae,UID,unknown,1,Thorp 2016,,1,ALA,12-Nov-20,Enchytraeidae,UID,Brinkhurst 1986,,ALA,6-Aug-2020,0,slide,1,VNA,,
W478,YDV,23-Aug-2018,Oligochaeta,split,100,,ALA,4-Aug-2020,Naididae,Nais sp.,unknown,1,Thorp 2016,,1,ALA,12-Nov-20,Naididae,Nais communis,Brinkhurst 1986,budded,ALA,6-Aug-2020,0,slide,1,VNA,,
W478,YDV,23-Aug-2018,Hirudinea,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Gastropoda,4,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Bivalvia,1,100,,ALA,30-Jul-2020,Sphaeriidae,UID,unknown,1,Clifford 1991,,,,,,,,,ALA,30-Jul-2020,0,mv,1,VNA,,
W478,YDV,23-Aug-2018,Hydrachnidia,26,100,,ALA,30-Jul-2020,Hydrachnidae,Hydrachna sp.,adult,2,Proctor 2006,,,,,,,,,ALA,30-Jul-2020,2,mv,0,ABMI.A.42747,,
W478,YDV,23-Aug-2018,Hydrachnidia,split,100,,ALA,30-Jul-2020,Limnesiidae,Limnesia sp.,adult,3,Proctor 2006,,,,,,,,,ALA,30-Jul-2020,3,mv,0,ABMI.A.42748,,
W478,YDV,23-Aug-2018,Hydrachnidia,split,100,,ALA,30-Jul-2020,Limnocharidae,Limnochares sp.,adult,1,Proctor 2006,,,,,,,,,ALA,30-Jul-2020,1,mv,0,ABMI.A.42749,,
W478,YDV,23-Aug-2018,Hydrachnidia,split,100,,ALA,30-Jul-2020,Pionidae,Piona sp.,adult,12,Proctor 2006,"4 males 2 females, uncertain on female ID",,,,,,,,ALA,30-Jul-2020,12,mv,0,ABMI.A.42750,,
W478,YDV,23-Aug-2018,Hydrachnidia,split,100,,ALA,30-Jul-2020,UID,UID,deutonymph,8,Proctor 2006,,,,,,,,,ALA,30-Jul-2020,0,mv,8,VNA,,
W478,YDV,23-Aug-2018,Amphipoda,60,100,,ALA,4-Aug-2020,Hyalellidae,Hyalella sp.,unknown,60,Thorp 2016,1 dissected,,,,,,,,ALA,4-Aug-2020,60,mv,0,ABMI.A.42751,,
W478,YDV,23-Aug-2018,Isopoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Decapoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Ephemeroptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Anisoptera,1,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Zygoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Plecoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Hemiptera,17,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Megaloptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Lepidoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Trichoptera,1,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Coleoptera (adults),1,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Coleoptera (larvae),3,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Chironomidae,28,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Ceratopogonidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Tabanidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Tipulidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Culicidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Chaoboridae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Simuliidae,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Other Diptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,Other: ,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W478,YDV,23-Aug-2018,UMOS,VNA,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W478-2,"Go to ""Invert Sorting_Advanced ID_2018-ABMI-2 + Chironomidae"" spreadsheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Oligochaeta,10,17,,ALA,8-Sep-2020,Naididae,Nais sp.,unknown,10,Thorp 2016,,1,ALA,12-Nov-20,Naididae,Slavina appendiculata,Brinkhurst 1986,,ALA,13-Nov-2020,0,slide,1,VNA,,
W605,CUH,22-Aug-2018,Oligochaeta,split,17,,,,,split,,split,,,5,ALA,12-Nov-20,Naididae,Nais simplex,Brinkhurst 1986,,ALA,13-Nov-2020,0,slide,5,VNA,,
W605,CUH,22-Aug-2018,Oligochaeta,split,17,,,,,split,,split,,,3,ALA,12-Nov-20,Naididae,Nais communis,Brinkhurst 1986,,ALA,13-Nov-2020,0,slide,3,VNA,,
W605,CUH,22-Aug-2018,Hirudinea,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Gastropoda,66,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Bivalvia,20,17,,ALA,4-Sep-2020,Sphaeriidae,UID,unknown,18,Clifford 1991,,,,,,,,,ALA,4-Sep-2020,0,mv,18,VNA,,
W605,CUH,22-Aug-2018,Hydrachnidia,10,17,,ALA,4-Sep-2020,Arrenuridae,Arrenurus sp.,adult,1,Proctor 2006,,,,,,,,,ALA,4-Sep-2020,1,mv,0,ABMI.A.42766,,
W605,CUH,22-Aug-2018,Hydrachnidia,split,17,,ALA,4-Sep-2020,Hydrodromidae,Hydrodroma sp.,adult,2,Proctor 2006,,,,,,,,,ALA,4-Sep-2020,2,mv,0,ABMI.A.42767,,
W605,CUH,22-Aug-2018,Hydrachnidia,split,17,,ALA,4-Sep-2020,Oxidae,Frontipoda sp.,adult,1,Proctor 2006,,,,,,,,,ALA,4-Sep-2020,1,mv,0,ABMI.A.42768,,
W605,CUH,22-Aug-2018,Hydrachnidia,split,17,,ALA,4-Sep-2020,Pionidae,Piona sp.,adult,3,Proctor 2006,,,,,,,,,ALA,4-Sep-2020,3,mv,0,ABMI.A.42769,,
W605,CUH,22-Aug-2018,Hydrachnidia,split,17,,ALA,4-Sep-2020,UID,UID,deutonymph,3,Proctor 2006,UID immature,,,,,,,,ALA,4-Sep-2020,0,mv,3,VNA,,
W605,CUH,22-Aug-2018,Amphipoda,75,17,,ALA,4-Sep-2020,Hyalellidae,Hyalella sp.,unknown,79,Marron-Becerra 2020,more mature female with rounded telson,,,,,,,,ALA,4-Sep-2020,79,mv,0,ABMI.A.42770,,
W605,CUH,22-Aug-2018,Isopoda,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Decapoda,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Ephemeroptera,13,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Anisoptera,3,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Zygoptera,12,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Plecoptera,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Hemiptera,20,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Megaloptera,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Lepidoptera,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Trichoptera,3,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Coleoptera (adults),0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Coleoptera (larvae),1,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Chironomidae,59,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Ceratopogonidae,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Tabanidae,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Tipulidae,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Culicidae,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Chaoboridae,58,17,,ALA,4-Sep-2020,Chaoborinae,Chaoborus americanus,larva,58,Haney 2013,,,,,,,,,ALA,4-Sep-2020,58,mv,0,ABMI.A.42771,,
W605,CUH,22-Aug-2018,Simuliidae,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Other Diptera,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,Other: ,0,17,,,,,,,,,,,,,,,,,,,,,,,,
W605,CUH,22-Aug-2018,UMOS,25,17,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Oligochaeta,18,44,,ALA,14-Sep-2020,Lumbriculidae,UID,unknown,1,Thorp 2016,,1,ALA,12-Nov-20,Lumbriculidae,Lumbriculus sp.,Brinkhurst 1986,,ALA,14-Sep-2020,1,slide,0,ABMI.A.42789,,
W638,RH,23-Aug-2018,Oligochaeta,split,44,,ALA,14-Sep-2020,Naididae,Nais sp.,unknown,4,Thorp 2016,Nais + Slavina + UID vouchers share slide,4,ALA,12-Nov-20,Naididae,Nais communis,Brinkhurst 1986,,ALA,14-Sep-2020,0,slide,4,VNA,,
W638,RH,23-Aug-2018,Oligochaeta,split,44,,ALA,14-Sep-2020,Naididae,Slavina sp.,unknown,1,Thorp 2016,,12,ALA,12-Nov-20,Naididae,Slavina appendiculata,Brinkhurst 1986,,ALA,14-Sep-2020,0,slide,1,VNA,,
W638,RH,23-Aug-2018,Oligochaeta,split,44,,ALA,14-Sep-2020,Naididae,UID,unknown,12,Thorp 2016,,1,ALA,12-Nov-20,Naididae,Dero nivea,Brinkhurst 1986,,ALA,14-Sep-2020,0,slide,12,VNA,,
W638,RH,23-Aug-2018,Hirudinea,3,44,,ALA,9-Sep-2020,Glossiphoniidae,UID,immature,4,Clifford 1991,,,,,,,,,ALA,9-Sep-2020,0,mv,4,VNA,,
W638,RH,23-Aug-2018,Gastropoda,22,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Bivalvia,69,44,,ALA,9-Sep-2020,Sphaeriidae,UID,unknown,69,Clifford 1991,,69,ALA,17-Jun-22,Pisidiidae,Sphaerium sp.,Clifford 1991,,ALA,9-Sep-2020,0,mv,69,VNA,,
W638,RH,23-Aug-2018,Hydrachnidia,8,44,,ALA,9-Sep-2020,Arrenuridae,Arrenurus sp.,adult,3,Proctor 2006,,,,,,,,,ALA,9-Sep-2020,3,mv,0,ABMI.A.42773,,
W638,RH,23-Aug-2018,Hydrachnidia,split,44,,ALA,9-Sep-2020,Hydrachnidae,Hydrachna sp.,adult,2,Proctor 2006,,,,,,,,,ALA,9-Sep-2020,2,mv,0,ABMI.A.42774,,
W638,RH,23-Aug-2018,Hydrachnidia,split,44,,ALA,9-Sep-2020,Hydrodromidae,Hydrodroma sp.,adult,2,Proctor 2006,,,,,,,,,ALA,9-Sep-2020,2,mv,0,ABMI.A.42775,,
W638,RH,23-Aug-2018,Amphipoda,23,44,,ALA,9-Sep-2020,Hyalellidae,Hyalella cf. azteca,unknown,3,Marron-Becerra 2020,males agree but uncertain about female,,,,,,,,ALA,9-Sep-2020,3,mv,0,ABMI.A.42776,,
W638,RH,23-Aug-2018,Amphipoda,split,44,,ALA,9-Sep-2020,Hyalellidae,Hyalella sp.,unknown,21,Marron-Becerra 2020,,,,,,,,,ALA,9-Sep-2020,21,mv,0,ABMI.A.42777,,
W638,RH,23-Aug-2018,Isopoda,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Decapoda,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Ephemeroptera,43,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Anisoptera,14,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Zygoptera,28,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Plecoptera,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Hemiptera,8,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Megaloptera,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Lepidoptera,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Trichoptera,17,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Coleoptera (adults),0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Coleoptera (larvae),1,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Chironomidae,90,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Ceratopogonidae,4,44,,ALA,9-Sep-2020,Ceratopogininae,Bezzia/Probezzia/Palopmyia sp.,larva,4,Merritt 2019,several genera indistinguishable,,,,,,,,ALA,9-Sep-2020,4,mv,0,ABMI.A.42778,,
W638,RH,23-Aug-2018,Tabanidae,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Tipulidae,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Culicidae,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Chaoboridae,6,44,,ALA,9-Sep-2020,Chaoborinae,Chaoborus americanus,larva,1,Haney 2013,,,,,,,,,ALA,9-Sep-2020,1,mv,0,ABMI.A.42779,,
W638,RH,23-Aug-2018,Chaoboridae,split,44,,ALA,9-Sep-2020,Chaoborinae,Chaoborus flavicans,larva,1,Haney 2013,12 mandibular rays and 23 anal rays,,,,,,,,ALA,9-Sep-2020,1,mv,0,ABMI.A.42780,,
W638,RH,23-Aug-2018,Chaoboridae,split,44,,ALA,9-Sep-2020,Chaoborinae,Chaoborus sp.,larva,5,Haney 2013,immature,,,,,,,,ALA,9-Sep-2020,5,mv,0,ABMI.A.42781,,
W638,RH,23-Aug-2018,Simuliidae,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Other Diptera,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,Other: ,0,44,,,,,,,,,,,,,,,,,,,,,,,,
W638,RH,23-Aug-2018,UMOS,4,44,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W638-2,"Go to ""Invert Sorting_Advanced ID_2018-ABMI-2 + Chironomidae"" spreadsheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Oligochaeta,30,100,,ALA,17-Sep-2020,Naididae,Stylaria lacustris,unknown,27,Thorp 2016,,,,,,,,,ALA,17-Sep-2020,9,slide,18,ABMI.A.42812,,
W670,STO2,20-Aug-2018,Oligochaeta,split,100,,ALA,17-Sep-2020,Naididae,Slavina appendiculata,unknown,2,Thorp 2016,,3,ALA,13-Nov-20,Naididae,Slavina appendiculata,Brinkhurst 1986,,ALA,17-Sep-2020,0,slide,3,VNA,,
W670,STO2,20-Aug-2018,Oligochaeta,split,100,,ALA,17-Sep-2020,Naididae,UID,unknown,1,Thorp 2016,,0,,,,,,moved into taxon above,ALA,17-Sep-2020,0,slide,0,VNA,,
W670,STO2,20-Aug-2018,Hirudinea,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Gastropoda,4,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Bivalvia,11,100,,ALA,15-Sep-2020,Sphaeriidae,UID,unknown,12,Clifford 1991,,,,,,,,,ALA,15-Sep-2020,0,mv,12,VNA,,
W670,STO2,20-Aug-2018,Hydrachnidia,11,100,,ALA,15-Sep-2020,Arrenuridae,Arrenurus sp.,adult,1,Proctor 2006,,,,,,,,,ALA,15-Sep-2020,1,mv,0,ABMI.A.42794,,
W670,STO2,20-Aug-2018,Hydrachnidia,split,100,,ALA,15-Sep-2020,Pionidae,Piona sp.,adult,9,Proctor 2006,1 or 2 deutonymphs,,,,,,,,ALA,15-Sep-2020,9,mv,0,ABMI.A.42795,,
W670,STO2,20-Aug-2018,Hydrachnidia,split,100,,ALA,15-Sep-2020,Unionicolidae,Unionicola sp.,adult,2,Proctor 2006,,,,,,,,,ALA,15-Sep-2020,2,mv,0,ABMI.A.42796,,
W670,STO2,20-Aug-2018,Amphipoda,7,100,,ALA,15-Sep-2020,Hyalellidae,Hyalella sp.,unknown,7,Marron-Becerra 2020,,,,,,,,,ALA,15-Sep-2020,7,mv,0,ABMI.A.42797,,
W670,STO2,20-Aug-2018,Isopoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Decapoda,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Ephemeroptera,4,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Anisoptera,1,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Zygoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Plecoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Hemiptera,2,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Megaloptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Lepidoptera,0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Trichoptera,1,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Coleoptera (adults),0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Coleoptera (larvae),0,100,,,,,,,,,,,,,,,,,,,,,,,,
W670,STO2,20-Aug-2018,Chironomidae,32,100,,,,,,,,,,,,,,,,,,,,,,,,
