Row,Target_Group,Coarse_Group,Phylum,Class,Order,Family,Subfamily,Genus,Species,Final_ID_portal,Final_ID,Scientific_Name,Rank,Scientific_Name_Analysis,Analysis_Name,Analysis_Mode,Analysis_Grouping,Analysis_Rank,Distribution_Method,Feeding_Group,Feeding_mode,Conductivity_Sensitivity,DO2_Sensitivity,DOC_Sensitivity,pH_High_Sensitivity,pH_Low_Sensitivity,TN_Sensitivity,TP_Sensitivity,Notes
177,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Einfeldia,sp. B RPH,Einfeldia sp. B RPH,Einfeldia sp. B RPH,Einfeldia sp. B RPH,Species,Einfeldia sp. B RPH,Einfeldia.sp.B.RPH,Presence,Einfeldia.sp.,Genus,VNA,Collector,gatherer,8,1,4,9,10,8,7,
178,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Einfeldia,sp. C RPH,Einfeldia sp. C RPH,Einfeldia sp. C RPH,Einfeldia sp. C RPH,Species,Einfeldia sp. C RPH,Einfeldia.sp.C.RPH,Presence,Einfeldia.sp.,Genus,VNA,Collector,gatherer,8,1,4,9,10,8,7,
179,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Einfeldia,sp. D RPH,Einfeldia sp. D RPH,Einfeldia sp. D RPH,Einfeldia sp. D RPH,Species,Einfeldia sp. D RPH,Einfeldia.sp.D.RPH,Presence,Einfeldia.sp.,Genus,VNA,Collector,gatherer,8,1,4,9,10,8,7,
180,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Einfeldia,sp. E RPH,Einfeldia sp. E RPH,Einfeldia sp. E RPH,Einfeldia sp. E RPH,Species,Einfeldia sp. E RPH,Einfeldia.sp.E.RPH,Presence,Einfeldia.sp.,Genus,VNA,Collector,gatherer,8,1,4,9,10,8,7,
181,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Endochironomus,nigricans,Endochironomus nigricans,Endochironomus nigricans,Endochironomus nigricans,Species,Endochironomus nigricans,Endochironomus.nigricans,Abundance,Endochironomus.nigricans,Species,VNA,Shreder,herbivore,9,4,9,8,7,7,7,
182,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Endochironomus,sp.,Endochironomus,Endochironomus sp.,Endochironomus sp.,Genus,Endochironomus sp.,Endochironomus.sp.,Abundance,Distribute.to.Children,,DPAC-SG,Shreder,herbivore,9,5,9,9,7,7,7,response to water PChem differs between species
183,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Endochironomus,sp. A RPH,Endochironomus sp. A RPH,Endochironomus sp. A RPH,Endochironomus sp. A RPH,Species,Endochironomus sp. A RPH,Endochironomus.sp.A.RPH,Abundance,Endochironomus.sp.A.RPH,Species,VNA,Shreder,herbivore,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
184,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Endochironomus,subtendens,Endochironomus subtendens,Endochironomus subtendens,Endochironomus subtendens,Species,Endochironomus subtendens,Endochironomus.subtendens,Abundance,Endochironomus.subtendens,Species,VNA,Shreder,herbivore,9,7,8,8,10,8,7,
185,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Genus 8 RPH,VNA,Genus 8 RPH,Genus 8 RPH,Genus 8 RPH,Genus,Genus 8 RPH,Genus.8.RPH,Presence,Genus.8.RPH,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
186,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Genus IV JEP,VNA,Genus IV JEP,Genus IV JEP,Genus IV JEP ,Genus,Genus IV JEP,Genus.IV.JEP,Presence,Genus.IV.JEP,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
187,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp.,Glyptotendipes,Glyptotendipes sp.,Glyptotendipes sp.,Genus,Glyptotendipes sp.,Glyptotendipes.sp.,Abundance,Distribute.to.Children,,DPAC-SG,Shreder,herbivore,6,2,8,7,10,4,5,response to water PChem differs between species
188,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. A RPH,Glyptotendipes sp. A RPH,Glyptotendipes sp. A RPH,Glyptotendipes sp. A RPH,Species,Glyptotendipes sp. A RPH,Glyptotendipes.sp.A.RPH,Abundance,Glyptotendipes.sp.A.RPH,Species,VNA,Shreder,herbivore,9,7,8,8,10,7,6,
189,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. B RPH,Glyptotendipes sp. B RPH,Glyptotendipes sp. B RPH,Glyptotendipes sp. B RPH,Species,Glyptotendipes sp. B RPH,Glyptotendipes.sp.B.RPH,Abundance,Glyptotendipes.sp.B.RPH,Species,VNA,Shreder,herbivore,9,3,9,7,9,6,6,
190,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. C RPH,Glyptotendipes sp. C RPH,Glyptotendipes sp. C RPH,Glyptotendipes sp. C RPH,Species,Glyptotendipes sp. C RPH,Glyptotendipes.sp.C.RPH,Abundance,Glyptotendipes.sp.C.RPH,Species,VNA,Shreder,herbivore,6,8,10,7,10,7,5,
191,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. D RPH,Glyptotendipes sp. D RPH,Glyptotendipes sp. D RPH,Glyptotendipes sp. D RPH,Species,Glyptotendipes sp. D RPH,Glyptotendipes.sp.D.RPH,Abundance,Glyptotendipes.sp.D.RPH,Species,VNA,Shreder,herbivore,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
192,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. E RPH,Glyptotendipes sp. E RPH,Glyptotendipes sp. E RPH,Glyptotendipes sp. E RPH,Species,Glyptotendipes sp. E RPH,Glyptotendipes.sp.E.RPH,Abundance,Glyptotendipes.sp.E.RPH,Species,VNA,Shreder,herbivore,8,4,9,8,10,8,7,
193,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. F RPH,Glyptotendipes sp. F RPH,Glyptotendipes sp. F RPH,Glyptotendipes sp. F RPH,Species,Glyptotendipes sp. F RPH,Glyptotendipes.sp.F.RPH,Abundance,Glyptotendipes.sp.F.RPH,Species,VNA,Shreder,herbivore,6,1,8,8,10,5,4,
194,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. G RPH,Glyptotendipes sp. G RPH,Glyptotendipes sp. G RPH,Glyptotendipes sp. G RPH,Species,Glyptotendipes sp. G RPH,Glyptotendipes.sp.G.RPH,Abundance,Glyptotendipes.sp.G.RPH,Species,VNA,Shreder,herbivore,6,1,8,8,10,4,4,
195,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. H RPH,Glyptotendipes sp. H RPH,Glyptotendipes sp. H RPH,Glyptotendipes sp. H RPH,Species,Glyptotendipes sp. H RPH,Glyptotendipes.sp.H.RPH,Abundance,Glyptotendipes.sp.H.RPH,Species,VNA,Shreder,herbivore,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
196,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. I RPH,Glyptotendipes sp. I RPH,Glyptotendipes sp. I RPH,Glyptotendipes sp. I RPH,Species,Glyptotendipes sp. I RPH,Glyptotendipes.sp.I.RPH,Abundance,Glyptotendipes.sp.I.RPH,Species,VNA,Shreder,herbivore,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
197,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. J RPH,Glyptotendipes sp. J RPH,Glyptotendipes sp. J RPH,Glyptotendipes sp. J RPH,Species,Glyptotendipes sp. J RPH,Glyptotendipes.sp.J.RPH,Abundance,Glyptotendipes.sp.J.RPH,Species,VNA,Shreder,herbivore,9,4,8,8,9,7,7,
198,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,sp. K RPH,Glyptotendipes sp. K RPH,Glyptotendipes sp. K RPH,Glyptotendipes sp. K RPH,Species,Glyptotendipes sp. K RPH,Glyptotendipes.sp.K.RPH,Abundance,Glyptotendipes.sp.K.RPH,Species,VNA,Shreder,herbivore,7,3,9,7,10,6,5,
199,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Hyporhygma,quadripunctatum,Hyporhygma quadripunctatum,Hyporhygma quadripunctatum,Hyporhygma quadripunctatum,Species,Hyporhygma quadripunctatum,Hyporhygma.quadripunctatum,Presence,Hyporhygma.quadripunctatum,Species,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
200,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Kiefferulus,sp.,Kiefferulus,Kiefferulus sp.,Kiefferulus sp.,Genus,Kiefferulus sp.,Kiefferulus.sp.,Presence,Kiefferulus.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
201,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Lauterborniella,agrayloides,Lauterborniella agrayloides,Lauterborniella agrayloides,Lauterborniella agrayloides,Species,Lauterborniella agrayloides,Lauterborniella.agrayloides,Presence,Lauterborniella.sp.,Genus,VNA,Collector,gatherer,9,5,9,9,10,8,8,
202,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Lauterborniella,sp.,Lauterborniella,Lauterborniella sp.,Lauterborniella sp.,Genus,Lauterborniella sp.,Lauterborniella.sp.,Presence,Lauterborniella.sp.,Genus,VNA,Collector,gatherer,9,5,9,9,10,8,8,
203,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Micropsectra,sp.,Micropsectra,Micropsectra sp.,Micropsectra sp.,Genus,Micropsectra sp.,Micropsectra.sp.,Presence,Micropsectra.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
204,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Microtendipes,sp.,Microtendipes,Microtendipes sp.,Microtendipes sp.,Genus,Microtendipes sp.,Microtendipes.sp.,Abundance,Microtendipes.sp.,Genus,VNA,Collector,filter,9,5,9,9,7,9,8,
205,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Microtendipes,sp. A RPH,Microtendipes sp. A RPH,Microtendipes sp. A RPH,Microtendipes sp. A RPH,Species,Microtendipes sp. A RPH,Microtendipes.sp.A.RPH,Abundance,Microtendipes.sp.,Genus,VNA,Collector,filter,9,5,9,9,7,9,8,
206,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Microtendipes,sp. B RPH,Microtendipes sp. B RPH,Microtendipes sp. B RPH,Microtendipes sp. B RPH,Species,Microtendipes sp. B RPH,Microtendipes.sp.B.RPH,Abundance,Microtendipes.sp.,Genus,VNA,Collector,filter,9,5,9,9,7,9,8,
207,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Microtendipes,sp. C RPH,Microtendipes sp. C RPH,Microtendipes sp. C RPH,Microtendipes sp. C RPH,Species,Microtendipes sp. C RPH,Microtendipes.sp.C.RPH,Abundance,Microtendipes.sp.,Genus,VNA,Collector,filter,9,5,9,9,7,9,8,
208,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Nilothauma,sp.,Nilothauma,Nilothauma sp.,Nilothauma sp.,Genus,Nilothauma sp.,Nilothauma.sp.,Presence,Nilothauma.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
209,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Omisus,sp.,Omisus,Omisus sp.,Omisus sp.,Genus,Omisus sp.,Omisus.sp.,Presence,Omisus.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
210,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Pagastiella,sp.,Pagastiella,Pagastiella sp.,Pagastiella sp.,Genus,Pagastiella sp.,Pagastiella.sp.,Presence,Pagastiella.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
211,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,alatus,Parachironomus alatus,Parachironomus alatus,Parachironomus alatus,Species,Parachironomus alatus,Parachironomus.alatus,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
212,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,chaetoalus complex,Parachironomus chaetoalus complex,Parachironomus chaetoalus complex,Parachironomus chaetoalus complex,Complex,Parachironomus chaetoalus complex,Parachironomus.chaetoalus.complex,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
213,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,pectinatellae,Parachironomus pectinatellae,Parachironomus pectinatellae,Parachironomus pectinatellae,Species,Parachironomus pectinatellae,Parachironomus.pectinatellae,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
214,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp.,Parachironomus,Parachironomus sp.,Parachironomus sp.,Genus,Parachironomus sp.,Parachironomus.sp.,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
215,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. A RPH,Parachironomus sp. A RPH,Parachironomus sp. A RPH,Parachironomus sp. A RPH,Species,Parachironomus sp. A RPH,Parachironomus.sp.A.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
216,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. B RPH,Parachironomus sp. B RPH,Parachironomus sp. B RPH,Parachironomus sp. B RPH,Species,Parachironomus sp. B RPH,Parachironomus.sp.B.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
217,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. C RPH,Parachironomus sp. C RPH,Parachironomus sp. C RPH,Parachironomus sp. C RPH,Species,Parachironomus sp. C RPH,Parachironomus.sp.C.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
218,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. D RPH,Parachironomus sp. D RPH,Parachironomus sp. D RPH,Parachironomus sp. D RPH,Species,Parachironomus sp. D RPH,Parachironomus.sp.D.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
219,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. E RPH,Parachironomus sp. E RPH,Parachironomus sp. E RPH,Parachironomus sp. E RPH,Species,Parachironomus sp. E RPH,Parachironomus.sp.E.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
220,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. F RPH,Parachironomus sp. F RPH,Parachironomus sp. F RPH,Parachironomus sp. F RPH,Species,Parachironomus sp. F RPH,Parachironomus.sp.F.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
221,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. G RPH,Parachironomus sp. G RPH,Parachironomus sp. G RPH,Parachironomus sp. G RPH,Species,Parachironomus sp. G RPH,Parachironomus.sp.G.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
222,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. H RPH,Parachironomus sp. H RPH,Parachironomus sp. H RPH,Parachironomus sp. H RPH,Species,Parachironomus sp. H RPH,Parachironomus.sp.H.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
223,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Parachironomus,sp. I RPH,Parachironomus sp. I RPH,Parachironomus sp. I RPH,Parachironomus sp. I RPH,Species,Parachironomus sp. I RPH,Parachironomus.sp.I.RPH,Abundance,Parachironomus.sp.,Genus,VNA,Predator,engulfer,8,4,9,7,10,7,5,
224,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Paratanytarsus,sp.,Paratanytarsus,Paratanytarsus sp.,Paratanytarsus sp.,Genus,Paratanytarsus sp.,Paratanytarsus.sp.,Abundance,Paratanytarsus.sp.,Genus,VNA,Unknown,unknown,8,5,9,6,10,7,7,
225,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Paratanytarsus,sp. B RPH,Paratanytarsus sp. B RPH,Paratanytarsus sp. B RPH,Paratanytarsus sp. B RPH,Species,Paratanytarsus sp. B RPH,Paratanytarsus.sp.B.RPH,Abundance,Paratanytarsus.sp.,Genus,VNA,Unknown,unknown,8,5,9,6,10,7,7,
226,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Paratanytarsus,sp. C RPH,Paratanytarsus sp. C RPH,Paratanytarsus sp. C RPH,Paratanytarsus sp. C RPH,Species,Paratanytarsus sp. C RPH,Paratanytarsus.sp.C.RPH,Abundance,Paratanytarsus.sp.,Genus,VNA,Unknown,unknown,8,5,9,6,10,7,7,
227,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Paratanytarsus,sp. D RPH,Paratanytarsus sp. D RPH,Paratanytarsus sp. D RPH,Paratanytarsus sp. D RPH,Species,Paratanytarsus sp. D RPH,Paratanytarsus.sp.D.RPH,Abundance,Paratanytarsus.sp.,Genus,VNA,Unknown,unknown,8,5,9,6,10,7,7,
228,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Phaenopsectra,sp.,Phaenopsectra,Phaenopsectra sp.,Phaenopsectra sp.,Genus,Phaenopsectra sp.,Phaenopsectra.sp.,Presence,Phaenopsectra.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
229,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Phaenopsectra,sp. A RPH,Phaenopsectra sp. A RPH,Phaenopsectra sp. A RPH,Phaenopsectra sp. A RPH,Species,Phaenopsectra sp. A RPH,Phaenopsectra.sp.A.RPH,Presence,Phaenopsectra.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
230,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp.,Polypedilum,Polypedilum sp.,Polypedilum sp.,Genus,Polypedilum sp.,Polypedilum.sp.,Abundance,Distribute.to.Children,,DPAC-SG,Shreder,herbivore,9,4,9,9,7,8,7,response to water PChem differs between species
231,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp. A RPH,Polypedilum sp. A RPH,Polypedilum sp. A RPH,Polypedilum sp. A RPH,Species,Polypedilum sp. A RPH,Polypedilum.sp.A.RPH,Abundance,Polypedilum.sp.A.RPH,Species,VNA,Shreder,herbivore,10,6,9,9,10,7,5,
232,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp. B RPH,Polypedilum sp. B RPH,Polypedilum sp. B RPH,Polypedilum sp. B RPH,Species,Polypedilum sp. B RPH,Polypedilum.sp.B.RPH,Abundance,Polypedilum.sp.B.RPH,Species,VNA,Shreder,herbivore,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
233,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp. C RPH,Polypedilum sp. C RPH,Polypedilum sp. C RPH,Polypedilum sp. C RPH,Species,Polypedilum sp. C RPH,Polypedilum.sp.C.RPH,Abundance,Polypedilum.sp.C.RPH,Species,VNA,Shreder,herbivore,10,5,9,9,7,9,9,
234,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp. D RPH,Polypedilum sp. D RPH,Polypedilum sp. D RPH,Polypedilum sp. D RPH,Species,Polypedilum sp. D RPH,Polypedilum.sp.D.RPH,Abundance,Polypedilum.sp.D.RPH,Species,VNA,Shreder,herbivore,10,3,9,9,9,9,9,
235,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp. E RPH,Polypedilum sp. E RPH,Polypedilum sp. E RPH,Polypedilum sp. E RPH,Species,Polypedilum sp. E RPH,Polypedilum.sp.E.RPH,Abundance,Polypedilum.sp.E.RPH,Species,VNA,Shreder,herbivore,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
236,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp. F RPH,Polypedilum sp. F RPH,Polypedilum sp. F RPH,Polypedilum sp. F RPH,Species,Polypedilum sp. F RPH,Polypedilum.sp.F.RPH,Abundance,Polypedilum.sp.F.RPH,Species,VNA,Shreder,herbivore,10,5,10,7,9,9,9,
237,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp. G RPH,Polypedilum sp. G RPH,Polypedilum sp. G RPH,Polypedilum sp. G RPH,Species,Polypedilum sp. G RPH,Polypedilum.sp.G.RPH,Abundance,Polypedilum.sp.G.RPH,Species,VNA,Shreder,herbivore,8,4,9,9,10,8,6,
238,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,sp. H RPH,Polypedilum sp. H RPH,Polypedilum sp. H RPH,Polypedilum sp. H RPH,Species,Polypedilum sp. H RPH,Polypedilum.sp.H.RPH,Abundance,Polypedilum.sp.H.RPH,Species,VNA,Shreder,herbivore,9,4,9,9,7,8,8,
239,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,scaelum group,Polypedilum scaelum group,Polypedilum scaelum group,Polypedilum scaelum group,,Polypedilum scaelum group,Polypedilum.scaelum.group,Abundance,Polypedilum.scaelum.group,Species complex,VNA,Shreder,herbivore,DD,DD,DD,DD,DD,DD,DD,rarely collected (so far) - data deficient
240,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Pseudochironomus,sp.,Pseudochironomus,Pseudochironomus sp.,Pseudochironomus sp.,Genus,Pseudochironomus sp.,Pseudochironomus.sp.,Presence,Pseudochironomus.sp.,Genus,VNA,Collector,gatherer,9,6,9,9,9,8,9,
241,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Pseudochironomus,sp. A RPH,Pseudochironomus sp. A RPH,Pseudochironomus sp. A RPH,Pseudochironomus sp. A RPH,Species,Pseudochironomus sp. A RPH,Pseudochironomus.sp.A.RPH,Presence,Pseudochironomus.sp.,Genus,VNA,Collector,gatherer,9,6,9,9,9,8,9,
242,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Pseudochironomus,sp. B RPH,Pseudochironomus sp. B RPH,Pseudochironomus sp. B RPH,Pseudochironomus sp. B RPH,Species,Pseudochironomus sp. B RPH,Pseudochironomus.sp.B.RPH,Presence,Pseudochironomus.sp.,Genus,VNA,Collector,gatherer,9,6,9,9,9,8,9,
243,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Pseudochironomus,sp. C RPH,Pseudochironomus sp. C RPH,Pseudochironomus sp. C RPH,Pseudochironomus sp. C RPH,Species,Pseudochironomus sp. C RPH,Pseudochironomus.sp.C.RPH,Presence,Pseudochironomus.sp.,Genus,VNA,Collector,gatherer,9,6,9,9,9,8,9,
244,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Sergentia,sp.,Sergentia,Sergentia sp.,Sergentia sp.,Genus,Sergentia sp.,Sergentia.sp.,Presence,Sergentia.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
245,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Stempellina,sp.,Stempellina sp.,Stempellina sp.,Stempellina sp.,Genus,Stempellina sp.,Stempellina.sp.,Presence,Stempellina.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
246,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Stempellina,leptocelloides,Stempellina leptocelloides,Stempellina leptocelloides,Stempellina leptocelloides,Species,Stempellina leptocelloides,Stempellina.leptocelloides,Presence,Stempellina.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
247,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Stempellina,cf. subglabripennis,Stempellina cf. subglabripennis,Stempellina cf. subglabripennis,Stempellina cf. subglabripennis,Species,Stempellina cf. subglabripennis,Stempellina.cf.subglabripennis,Presence,Stempellina.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
248,Non-target_CHR,Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Stempellina,sp. A Epler,Stempellina sp. A Epler,Stempellina sp. A Epler,Stempellina sp. A Epler,Species,Stempellina sp. A Epler,Stempellina.sp.A.Epler,Presence,Stempellina.sp.,Genus,VNA,Unknown,unknown,DD,DD,DD,DD,DD,DD,DD,rarely collected - data deficient
